Дата,Цена Bitcoin,Цена Ethereum
2016-12-11,767.9,8.19
2016-12-12,778.5,8.45
2016-12-13,778.7,8.36
2016-12-14,776.5,8.21
2016-12-15,775.2,7.83
2016-12-16,782.0,7.86
2016-12-17,787.2,7.73
2016-12-18,789.0,7.93
2016-12-19,789.8,7.58
2016-12-20,799.1,7.61
2016-12-21,829.2,7.89
2016-12-22,860.2,7.61
2016-12-23,917.2,7.16
2016-12-24,891.1,7.25
2016-12-25,891.1,7.23
2016-12-26,898.4,7.27
2016-12-27,925.8,7.12
2016-12-28,972.2,7.58
2016-12-29,971.1,8.27
2016-12-30,959.0,8.16
2016-12-31,963.4,8.0
2017-01-01,995.4,8.2
2017-01-02,1017.0,8.37
2017-01-03,1033.3,9.74
2017-01-04,1135.4,11.0
2017-01-05,989.3,10.15
2017-01-06,886.2,10.08
2017-01-07,888.9,9.84
2017-01-08,900.9,10.28
2017-01-09,899.8,10.26
2017-01-10,904.4,10.61
2017-01-11,785.4,9.79
2017-01-12,810.1,9.83
2017-01-13,824.8,9.67
2017-01-14,819.6,9.67
2017-01-15,821.2,9.81
2017-01-16,827.3,9.61
2017-01-17,899.7,10.12
2017-01-18,872.0,10.19
2017-01-19,895.2,10.38
2017-01-20,892.9,10.62
2017-01-21,919.8,10.95
2017-01-22,918.8,10.64
2017-01-23,921.5,10.77
2017-01-24,893.8,10.5
2017-01-25,894.4,10.48
2017-01-26,915.6,10.63
2017-01-27,918.0,10.5
2017-01-28,918.5,10.51
2017-01-29,914.5,10.46
2017-01-30,920.7,10.53
2017-01-31,965.5,10.71
2017-02-01,982.4,10.71
2017-02-02,1004.0,10.8
2017-02-03,1013.0,10.93
2017-02-04,1031.8,11.32
2017-02-05,1016.1,11.18
2017-02-06,1024.7,11.32
2017-02-07,1049.6,11.41
2017-02-08,1055.5,11.35
2017-02-09,979.0,10.9
2017-02-10,997.6,11.3
2017-02-11,1008.3,11.33
2017-02-12,996.5,11.26
2017-02-13,995.4,11.35
2017-02-14,1008.3,12.96
2017-02-15,1008.2,12.92
2017-02-16,1031.9,12.92
2017-02-17,1049.4,12.76
2017-02-18,1052.3,12.79
2017-02-19,1048.9,12.8
2017-02-20,1077.6,12.4
2017-02-21,1119.0,12.82
2017-02-22,1120.5,12.68
2017-02-23,1171.9,13.27
2017-02-24,1176.5,13.11
2017-02-25,1149.1,13.55
2017-02-26,1171.6,14.57
2017-02-27,1188.8,15.5
2017-02-28,1189.3,15.86
2017-03-01,1222.7,17.43
2017-03-02,1255.5,19.02
2017-03-03,1283.3,19.49
2017-03-04,1264.3,18.5
2017-03-05,1271.2,19.35
2017-03-06,1277.0,19.51
2017-03-07,1232.7,18.88
2017-03-08,1147.0,16.51
2017-03-09,1191.3,17.75
2017-03-10,1112.4,19.18
2017-03-11,1179.2,21.3
2017-03-12,1225.1,23.2
2017-03-13,1238.2,28.4
2017-03-14,1243.1,28.66
2017-03-15,1253.4,34.8
2017-03-16,1172.9,45.07
2017-03-17,1071.7,44.65
2017-03-18,971.4,34.2
2017-03-19,1022.6,43.17
2017-03-20,1047.5,42.06
2017-03-21,1121.3,42.45
2017-03-22,1044.7,41.46
2017-03-23,1035.0,43.14
2017-03-24,939.7,54.01
2017-03-25,966.3,50.75
2017-03-26,969.4,50.46
2017-03-27,1045.1,48.93
2017-03-28,1044.4,50.16
2017-03-29,1041.9,52.88
2017-03-30,1037.9,51.62
2017-03-31,1079.1,49.72
2017-04-01,1086.1,50.59
2017-04-02,1097.4,48.6
2017-04-03,1147.6,44.28
2017-04-04,1141.8,44.41
2017-04-05,1129.9,45.35
2017-04-06,1188.7,43.11
2017-04-07,1190.5,42.25
2017-04-08,1180.8,44.51
2017-04-09,1204.3,43.94
2017-04-10,1206.7,44.17
2017-04-11,1220.7,44.21
2017-04-12,1212.5,46.85
2017-04-13,1176.2,50.65
2017-04-14,1177.3,48.5
2017-04-15,1177.0,49.71
2017-04-16,1176.8,49.58
2017-04-17,1194.0,49.52
2017-04-18,1206.1,52.42
2017-04-19,1215.2,49.66
2017-04-20,1238.1,51.96
2017-04-21,1249.6,51.37
2017-04-22,1240.9,52.15
2017-04-23,1249.1,53.33
2017-04-24,1248.2,53.54
2017-04-25,1264.3,53.9
2017-04-26,1286.6,57.31
2017-04-27,1332.9,68.0
2017-04-28,1329.6,76.0
2017-04-29,1336.3,73.55
2017-04-30,1351.9,83.51
2017-05-01,1415.8,81.4
2017-05-02,1445.9,82.01
2017-05-03,1485.6,85.79
2017-05-04,1516.8,99.2
2017-05-05,1507.8,91.5
2017-05-06,1545.3,96.65
2017-05-07,1554.4,94.21
2017-05-08,1664.5,88.97
2017-05-09,1697.5,88.94
2017-05-10,1752.3,88.33
2017-05-11,1819.3,89.38
2017-05-12,1686.4,86.99
2017-05-13,1763.7,89.9
2017-05-14,1772.6,90.37
2017-05-15,1708.9,92.56
2017-05-16,1729.3,88.17
2017-05-17,1801.3,89.67
2017-05-18,1881.0,98.6
2017-05-19,1962.0,124.4
2017-05-20,2040.2,123.03
2017-05-21,2044.2,146.14
